country,success_count,proxies_link,link_change_ip
PR-1,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-2,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-3,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-4,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-5,19,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-6,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-7,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-8,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-9,19,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-10,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-11,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-12,17,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-13,19,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-14,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-15,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-16,5,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-17,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-18,0,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=*************
PR-19,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
PR-20,20,http://*********:**@*.*.*.*:****/,http://**************.com:*****/api/changeIP?apiToken=************
